layer_index,layer_type,gpu_id,LatencyAware,Random,RoundRobin,Uniform
3,decoder,A6000,0.017217973,0.0172778964042663,0.0153589062392711,0.0172639265656471
7,decoder,1080Ti,0.017333556,0.0165698584169149,0.0242600217461586,0.0157870817929506
3,encoder,A6000,0.017091433,0.0172180589288473,0.0154529698193073,0.0159430783241987
9,encoder,1080Ti,0.017112352,0.0273198820650577,0.0174490269273519,0.0195750035345554
11,decoder,1080Ti,0.017402116,0.0187510158866643,0.0259180087596178,0.0154660083353519
11,encoder,1080Ti,0.01713985,0.0155470333993434,0.0180290080606937,0.0188599806278944
1,encoder,A6000,0.017031848,0.0115190632641315,0.0192248262465,0.0153467990458011
11,encoder,1080Ti,0.017150842,0.0159530900418758,0.0254579354077577,0.0154539011418819
3,encoder,1080Ti,0.01711148,0.0275559723377227,0.0169400591403245,0.0156140886247158
9,decoder,1080Ti,0.017422786,0.0162199139595031,0.0156359747052192,0.0289429444819688
1,encoder,1080Ti,0.017031848,0.0283529516309499,0.0171801075339317,0.0254008919000625
5,decoder,A6000,0.017245097,0.0157500617206096,0.0177097972482442,0.0174238812178373
3,decoder,1080Ti,0.01721099,0.0170290004462003,0.0158960465341806,0.0265007838606834
11,decoder,A6000,0.017381066,0.0153759028762578,0.0171759165823459,0.0177039764821529
11,decoder,1080Ti,0.017402116,0.0175819732248783,0.0156830064952373,0.0258039217442274
7,encoder,1080Ti,0.01711271,0.0264339614659547,0.0259398948401212,0.0174911692738533
3,decoder,1080Ti,0.01721099,0.0243668910115957,0.0276870559900999,0.0161000061780214
7,decoder,A6000,0.017226696,0.0174208544194698,0.0159097835421562,0.0160678755491971
3,encoder,A6000,0.01710304,0.0215361360460519,0.0175298191606998,0.0157770700752735
5,decoder,A6000,0.017193388,0.0178008340299129,0.0169831328094005,0.0155030284076929
11,encoder,A6000,0.01716725,0.0171801075339317,0.0173819717019796,0.0173801090568304
3,decoder,A6000,0.01721099,0.0182138755917549,0.0173200387507677,0.0173288863152265
11,encoder,1080Ti,0.01713985,0.0169449485838413,0.0170317944139242,0.0169598497450351
11,decoder,A6000,0.017402116,0.0176699832081794,0.0176860485225915,0.0161840580403804
3,encoder,1080Ti,0.01711148,0.0173759181052446,0.0155200250446796,0.0256551429629325
11,decoder,1080Ti,0.017381066,0.0286160502582788,0.0266500283032655,0.0156948808580636
1,decoder,A6000,0.01713985,0.0171600840985775,0.0170448329299688,0.0204578973352909
7,encoder,1080Ti,0.01711271,0.015597091987729,0.0153330620378255,0.0247829593718051
11,decoder,A6000,0.017381998,0.0175039749592542,0.0177312176674604,0.0156259629875421
7,decoder,1080Ti,0.017333556,0.0176068861037492,0.015640165656805,0.017191981896758
9,decoder,A6000,0.017422786,0.0179000198841094,0.0154611188918352,0.0156788155436515
9,encoder,1080Ti,0.017107533,0.0175631139427423,0.0174071174114942,0.0172401778399944
5,decoder,1080Ti,0.017183367,0.0276959035545587,0.0153849832713603,0.0176441390067338
1,encoder,1080Ti,0.017031848,0.0265659764409065,0.0238921493291854,0.0169628765434026
9,encoder,A6000,0.017107533,0.017732847481966,0.0170909333974123,0.0155651941895484
11,decoder,A6000,0.017381066,0.0218900386244058,0.0155919697135686,0.0169698614627122
7,encoder,1080Ti,0.01711271,0.0266218557953834,0.0252809841185808,0.0277280341833829
9,encoder,A6000,0.017075798,0.019109109416604,0.0292649492621421,0.0170671846717596
1,decoder,A6000,0.01713985,0.016781035810709,0.0176639296114444,0.0253589823842048
3,encoder,A6000,0.017125158,0.0183419324457645,0.0171340070664882,0.0172699801623821
11,encoder,A6000,0.017150842,0.0175239983946084,0.0173889566212892,0.0178809277713298
5,decoder,1080Ti,0.017193388,0.0245689880102872,0.0172189902514219,0.0302009284496307
9,encoder,A6000,0.017107533,0.0176948960870504,0.0157200265675783,0.0176720786839723
9,decoder,A6000,0.017422786,0.017533078789711,0.0158690381795167,0.0201398506760597
9,decoder,1080Ti,0.017422786,0.0296540092676877,0.0253629405051469,0.0156960450112819
9,encoder,1080Ti,0.017107533,0.0156548339873552,0.0173589214682579,0.016852980479598
11,encoder,A6000,0.01716725,0.0154911540448665,0.0155440066009759,0.0194020103663206
9,encoder,1080Ti,0.01711073,0.0153749715536832,0.015323981642723,0.0277911312878131
5,encoder,1080Ti,0.017076613,0.0179989729076623,0.0156199093908071,0.0172129366546869
1,encoder,1080Ti,0.017031848,0.017307000234723,0.0201771035790443,0.0173000153154134
3,decoder,1080Ti,0.01721697,0.0175728928297758,0.0172569416463375,0.0154138542711734
